palavras,repetições
pular,2
impressiona,2
impressão,2
indigesta,2
infelizmente,2
mina de prata,2
pena,2
pensam,2
infância,2
instância castelo,2
qualidade,2
inteiro,2
internet,2
próprio,2
metido,2
meteu,2
provar,2
pequena,2
prova,2
quais,2
quanta,2
queima,2
miragem,2
humilde,2
molejo,2
idade,2
mocós,2
pedra,2
quatro ventos,2
pedro pereira,2
pega,2
igreja,2
arrisca,2
quatro,2
ilha,2
iludir,2
ilusão,2
peixe,2
imaginar,2
imaginação,2
imensa,2
senhores,2
falou,2
erguemos,2
valores,2
campo,2
campo do pio,2
vindos,2
dipset,2
acaba,2
dionísio torres,2
cinco,2
tornar,2
aço de joão lopes,2
vila morena,2
vila,2
sujo,2
cansado,2
ação,2
supermercado,2
cristal,2
vier,2
deve,2
deuses,2
vielas,2
cantava,2
culpa,2
vidro,2
desses,2
baculejo,2
afogando,2
vias,2
viajo,2
capa,2
tomando,2
vinte,2
caminhos,2
sustento,2
avó,2
cova,2
dores,2
unhas,2
sombra,2
sombrio,2
virasse,2
dois,2
sonhava,2
calar,2
sonhins,2
virado,2
dizеm,2
dizes,2
sonora,2
urbana,2
crinas,2
tostão,2
soprava,2
crer,2
soprou,2
crescer,2
cinzas,2
bandeira,2
caminhar,2
caminhava,2
barro vermelho,2
criança,2
sossega,2
crianças,2
disposição,2
acabaram,2
cura,2
cocorote,2
velejar,2
caça,2
vera,2
descansar,2
descamisados,2
velas,2
descambava,2
dançando,2
chamado,2
teia,2
desatino,2
cerveja,2
acreditar,2
ceci,2
cedo,2
derruba,2
dança,2
veneno,2
cego,2
der,2
bagunçado,2
tempão,2
definhando,2
veloz,2
velocidade,2
adeus,2
demais,2
admirar,2
deixei,2
acendíamos,2
deixar,2
veras,2
bagagem,2
são gerardo,2
curumin,2
afim,2
caras,2
acabei,2
acordava,2
acordei,2
taba,2
banhava,2
tribo,2
tabu,2
curimatã,2
cheguei,2
barraco,2
todas,2
curumim,2
banheiro,2
desconfiada,2
acolhia,2
carrão,2
tocha,2
carência,2
chegada,2
casa popular,2
tapete,2
acidez,2
verdades,2
descrê,2
cá,2
toa,2
castelo,2
tardinha,2
barroso,2
violão,2
corte,2
água doce,2
serrinha,2
enganos,2
boa,2
bobeira,2
sexta feira,2
si,2
batendo,2
encontrava,2
zela,2
silêncio,2
agonia,2
simples,2
sina,2
conviver,2
encanto,2
bonita,2
coqueirinho,2
vêm,2
trança,2
transformando,2
encalço,2
começaram,2
começar,2
emudecer,2
véia,2
coragem,2
trás,2
sistema,2
transa,2
serra,2
sereia,2
corda,2
contra,2
trilha,2
conhecia,2
conhecer,2
beija,2
ônibus,2
ò,2
senti,2
tremendo,2
beira,2
confusão,2
entretêm,2
entreter,2
balança,2
és,2
entregando,2
sentou,2
belas,2
batucada,2
confundem,2
belo,2
benção,2
álvaro weyne,2
contemplar,2
traz,2
besta,2
enrolada,2
contos,2
serde,2
ausência,2
braço,2
copo,2
downtown,2
abriu,2
brinca,2
vivi,2
ego,2
correria,2
voa,2
cabeça,2
solidão,2
tranquila,2
avenida,2
abril,2
vivemos,2
sensacionalista,2
correndo,2
tv,2
dói,2
voltando,2
agalando,2
turba,2
voz,2
douradas,2
cabe,2
coisa,2
três,2
comanda,2
agito,2
dão,2
brilhantes,2
brilha,2
duna,2
sobe,2
urubu,1
achar,1
ache,1
postigos,1
trinta e três,1
tripulação,1
pierrots,1
pescadores,1
pouca,1
velar,1
trinta e um,1
pintada,1
podem,1
poesia,1
valha,1
unos,1
unidos da cachorra,1
trigésima quarta,1
trinta e dois,1
pescoço,1
poderá,1
uivo,1
túnel,1
poderiam,1
peso,1
pessoal,1
velhinho,1
umtiti,1
podemos,1
peste,1
tédio,1
peça,1
peço,1
velha,1
tábuas,1
pousou,1
pio 12,1
pi,1
pinzón,1
tristes,1
urubus,1
truando,1
vasos,1
tuco,1
plays,1
varjota,1
tropeçava,1
uhuh,1
acompanha,1
trouxe,1
acontece,1
ponta,1
vamo,1
ve,1
porongabussu,1
pisei,1
planta,1
truco,1
vaiaram,1
valor,1
trânsito,1
valney,1
valia,1
vala,1
plena,1
aconteceu,1
turistando,1
portas,1
usassem,1
amante de iracema,1
triste,1
pirado,1
alívio,1
pitbull,1
tristezas,1
tristonha,1
troca,1
amanhecer,1
pirlo,1
tropeçando,1
pm,1
tropeçamos,1
veia,1
portando,1
polegar,1
vegeta,1
pomares,1
pirofagia,1
pisam,1
tupi or not tupi,1
amar,1
vertigens,1
amarela,1
vivia,1
vizinha,1
paraíba,1
voando,1
voei,1
voltam,1
abraçava,1
paramos,1
voltava,1
param,1
voltavam,1
abraçar,1
papo,1
abocanhou,1
papai,1
vulto,1
abisma,1
várias,1
vixe,1
amordaçada,1
abençõe,1
abrigo,1
passadas,1
vira,1
paseo,1
virei,1
pasado,1
pasa,1
partir,1
viria,1
virou,1
partido,1
partida,1
virão,1
parti,1
visto,1
vitória,1
paris,1
vitória régia,1
panguã,1
véio,1
violentas,1
pago,1
águagrande,1
amsterdam,1
a sete chaves,1
paciência,1
pacatuba,1
oásis,1
área,1
ébrio,1
índia,1
índio,1
américa do sul,1
índios,1
última,1
último,1
única,1
otávio bonfim,1
otários,1
pagava,1
a turma do mamão,1
vésperas,1
paira,1
panela,1
abandonada,1
vêlas,1
panamericano,1
palmeiral,1
vênus,1
vídeo,1
xl,1
xêxo,1
paletó,1
zero,1
zero sete,1
palabras,1
pala,1
pajuçara,1
zona leste,1
zé bezerra,1
violento,1
passagens,1
pesca,1
acaracuzinho,1
